,System,Battery Capacity,Energy Required from Grid,Annual Curtailment,Annual Profit,Net Present Value,LCOE,IRR,Discount Rate
40,SouthRoof+Overhang,70,16.426912663750002,14909.235080125169,79168.03827546467,69501.71359373898,2.9801339680699406,0.11488960742950427,0.05
41,SouthRoof+Overhang,70,16.426912663750002,14909.235080125169,79168.03827546467,54402.676337845136,2.3634874304293754,0.11488960742950427,0.06
42,SouthRoof+Overhang,80,2.4636425558333332,14914.529685132255,79196.15262805228,156518.90124692142,6.561976276836082,0.11082904440941266,0.01
43,SouthRoof+Overhang,80,2.4636425558333332,14914.529685132255,79196.15262805228,128433.49640513706,5.405658340354113,0.11082904440941266,0.02
44,SouthRoof+Overhang,80,2.4636425558333332,14914.529685132255,79196.15262805228,104560.65170079585,4.424790016603611,0.11082904440941266,0.03
45,SouthRoof+Overhang,80,2.4636425558333332,14914.529685132255,79196.15262805228,84167.35587044136,3.58861765377223,0.11082904440941266,0.04
46,SouthRoof+Overhang,80,2.4636425558333332,14914.529685132255,79196.15262805228,66660.5917995918,2.872291375245114,0.11082904440941266,0.05
47,SouthRoof+Overhang,80,2.4636425558333332,14914.529685132255,79196.15262805228,51558.72392219054,2.2556537737589095,0.11082904440941266,0.06
48,2SidedRoof,50,33.867046896249995,22879.44356503255,121489.84533032287,169956.9612834234,5.39723509951849,0.10152737678026313,0.01
49,2SidedRoof,50,33.867046896249995,22879.44356503255,121489.84533032287,138029.85048910874,4.406202988810917,0.10152737678026313,0.02
50,2SidedRoof,50,33.867046896249995,22879.44356503255,121489.84533032287,110886.96366315291,3.5653916185138197,0.10152737678026313,0.03
51,2SidedRoof,50,33.867046896249995,22879.44356503255,121489.84533032287,87696.31465476165,2.848486331457107,0.10152737678026313,0.04
52,2SidedRoof,50,33.867046896249995,22879.44356503255,121489.84533032287,67784.74811416243,2.234221817886544,0.10152737678026313,0.05
53,2SidedRoof,50,33.867046896249995,22879.44356503255,121489.84533032287,50605.48699368739,1.7053464693004012,0.10152737678026313,0.06
54,SouthRoof+Overhang,50,80.77894447250002,14896.704781351837,79101.50238897828,164919.19540493714,6.883231667417098,0.1236064223907154,0.01
55,SouthRoof+Overhang,50,80.77894447250002,14896.704781351837,79101.50238897828,136857.70698619133,5.727132217245574,0.1236064223907154,0.02
56,SouthRoof+Overhang,50,80.77894447250002,14896.704781351837,79101.50238897828,113005.07996081108,4.746442524975352,0.1236064223907154,0.03
57,SouthRoof+Overhang,50,80.77894447250002,14896.704781351837,79101.50238897828,92628.9581631016,3.910416621169825,0.1236064223907154,0.04
58,SouthRoof+Overhang,50,80.77894447250002,14896.704781351837,79101.50238897828,75136.85303305899,3.194210749950021,0.1236064223907154,0.05
59,SouthRoof+Overhang,50,80.77894447250002,14896.704781351837,79101.50238897828,60047.55708189276,2.5776723958628613,0.1236064223907154,0.06
